period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance
1,"猴, 牛, 兔, 蛇","5, 7, 9, 12, 17, 19, 21, 24, 29, 31, 33, 36, 41, 43, 45, 48",16,32,否,0,1,1.0,16.0,-16.0,-16.0,-16.0
2,"猴, 牛, 兔, 鸡","1, 5, 7, 12, 13, 17, 19, 24, 25, 29, 31, 36, 37, 41, 43, 48, 49",17,6,否,0,2,2.0,34.0,-34.0,-50.0,-50.0
3,"猴, 蛇, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,26,否,0,3,4.0,64.0,-64.0,-114.0,-114.0
4,"猴, 蛇, 牛, 羊","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,18,否,0,4,6.0,96.0,-96.0,-210.0,-210.0
5,"猴, 蛇, 牛, 羊","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,46,否,0,5,8.0,128.0,-128.0,-338.0,-338.0
6,"猴, 蛇, 牛, 羊","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,27,否,0,6,10.0,160.0,-160.0,-498.0,-498.0
7,"猴, 蛇, 牛, 羊","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,3,否,0,7,10.0,160.0,-160.0,-658.0,-658.0
8,"猴, 蛇, 牛, 羊","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,47,是,1,0,10.0,160.0,310.0,-348.0,-348.0
9,"猴, 蛇, 牛, 兔","5, 7, 9, 12, 17, 19, 21, 24, 29, 31, 33, 36, 41, 43, 45, 48",16,45,是,2,0,1.0,16.0,31.0,-317.0,-317.0
10,"鼠, 猴, 牛, 兔","4, 5, 7, 12, 16, 17, 19, 24, 28, 29, 31, 36, 40, 41, 43, 48",16,45,否,0,1,1.0,16.0,-16.0,-333.0,-333.0
11,"鼠, 猴, 兔, 牛","4, 5, 7, 12, 16, 17, 19, 24, 28, 29, 31, 36, 40, 41, 43, 48",16,46,否,0,2,2.0,32.0,-32.0,-365.0,-365.0
12,"鼠, 猴, 兔, 牛","4, 5, 7, 12, 16, 17, 19, 24, 28, 29, 31, 36, 40, 41, 43, 48",16,38,否,0,3,4.0,64.0,-64.0,-429.0,-429.0
13,"鼠, 猴, 兔, 鸡","1, 4, 7, 12, 13, 16, 19, 24, 25, 28, 31, 36, 37, 40, 43, 48, 49",17,3,否,0,4,6.0,102.0,-102.0,-531.0,-531.0
14,"鼠, 猴, 兔, 牛","4, 5, 7, 12, 16, 17, 19, 24, 28, 29, 31, 36, 40, 41, 43, 48",16,23,否,0,5,8.0,128.0,-128.0,-659.0,-659.0
15,"鼠, 兔, 鸡, 牛","1, 4, 5, 7, 13, 16, 17, 19, 25, 28, 29, 31, 37, 40, 41, 43, 49",17,47,否,0,6,10.0,170.0,-170.0,-829.0,-829.0
16,"兔, 鼠, 鸡, 牛","1, 4, 5, 7, 13, 16, 17, 19, 25, 28, 29, 31, 37, 40, 41, 43, 49",17,36,否,0,7,10.0,170.0,-170.0,-999.0,-999.0
17,"兔, 鼠, 鸡, 牛","1, 4, 5, 7, 13, 16, 17, 19, 25, 28, 29, 31, 37, 40, 41, 43, 49",17,38,否,0,8,10.0,170.0,-170.0,-1169.0,-1169.0
18,"鼠, 兔, 牛, 鸡","1, 4, 5, 7, 13, 16, 17, 19, 25, 28, 29, 31, 37, 40, 41, 43, 49",17,28,是,1,0,10.0,170.0,300.0,-869.0,-869.0
19,"兔, 鸡, 牛, 猴","1, 5, 7, 12, 13, 17, 19, 24, 25, 29, 31, 36, 37, 41, 43, 48, 49",17,24,是,2,0,1.0,17.0,30.0,-839.0,-839.0
20,"兔, 鸡, 牛, 虎","1, 5, 6, 7, 13, 17, 18, 19, 25, 29, 30, 31, 37, 41, 42, 43, 49",17,33,否,0,1,1.0,17.0,-17.0,-856.0,-856.0
21,"兔, 鸡, 牛, 虎","1, 5, 6, 7, 13, 17, 18, 19, 25, 29, 30, 31, 37, 41, 42, 43, 49",17,45,否,0,2,2.0,34.0,-34.0,-890.0,-890.0
22,"兔, 鸡, 龙, 牛","1, 5, 7, 8, 13, 17, 19, 20, 25, 29, 31, 32, 37, 41, 43, 44, 49",17,10,否,0,3,4.0,68.0,-68.0,-958.0,-958.0
23,"兔, 鸡, 龙, 牛","1, 5, 7, 8, 13, 17, 19, 20, 25, 29, 31, 32, 37, 41, 43, 44, 49",17,49,是,1,0,6.0,102.0,180.0,-778.0,-778.0
24,"龙, 兔, 牛, 虎","5, 6, 7, 8, 17, 18, 19, 20, 29, 30, 31, 32, 41, 42, 43, 44",16,2,否,0,1,1.0,16.0,-16.0,-794.0,-794.0
25,"龙, 兔, 虎, 牛","5, 6, 7, 8, 17, 18, 19, 20, 29, 30, 31, 32, 41, 42, 43, 44",16,49,否,0,2,2.0,32.0,-32.0,-826.0,-826.0
26,"龙, 虎, 牛, 兔","5, 6, 7, 8, 17, 18, 19, 20, 29, 30, 31, 32, 41, 42, 43, 44",16,13,否,0,3,4.0,64.0,-64.0,-890.0,-890.0
